Date,Open,High,Low,Close,Volume
2014-08-04,1.597499966621399,1.638124942779541,1.5795830488204956,1.6193749904632568,144182400
2014-08-05,1.6010420322418213,1.6135419607162476,1.559999942779541,1.5814579725265503,167539200
2014-08-06,1.5520830154418945,1.6070829629898071,1.5481250286102295,1.5787500143051147,119299200
2014-08-07,1.599166989326477,1.6091669797897339,1.5466669797897339,1.5635420083999634,153604800
2014-08-08,1.571666955947876,1.6020829677581787,1.5504169464111328,1.5968749523162842,124464000
2014-08-11,1.6145830154418945,1.6402080059051514,1.6122920513153076,1.6258330345153809,74352000
2014-08-12,1.6202080249786377,1.6358330249786377,1.5983330011367798,1.6220829486846924,90931200
2014-08-13,1.6439579725265503,1.6760419607162476,1.6404169797897339,1.6747920513153076,81278400
2014-08-14,1.6804169416427612,1.7012499570846558,1.6747920513153076,1.700624942779541,103089600
2014-08-15,1.7274999618530273,1.7370829582214355,1.6764580011367798,1.7237499952316284,155956800
2014-08-18,1.7504169940948486,1.7697919607162476,1.7447919845581055,1.7654169797897339,79348800
2014-08-19,1.7777080535888672,1.7975000143051147,1.7745829820632935,1.7958329916000366,78628800
2014-08-20,1.7897919416427612,1.8052079677581787,1.7856249809265137,1.7958329916000366,70651200
2014-08-21,1.7985420227050781,1.8072919845581055,1.788957953453064,1.806041955947876,67900800
2014-08-22,1.8066669702529907,1.8270829916000366,1.7956249713897705,1.8131250143051147,76814400
2014-08-25,1.840000033378601,1.8481249809265137,1.8200000524520874,1.8333330154418945,67977600
2014-08-26,1.8408329486846924,1.8443750143051147,1.8260420560836792,1.8395830392837524,41716800
2014-08-27,1.8408329486846924,1.8456250429153442,1.8274999856948853,1.839792013168335,36715200
2014-08-28,1.8214579820632935,1.8391669988632202,1.8141670227050781,1.8322919607162476,64838400
2014-08-29,1.8460420370101929,1.8537499904632568,1.8254170417785645,1.8537499904632568,52272000
2014-09-02,1.8679169416427612,1.8706250190734863,1.8466670513153076,1.8691669702529907,64300800
2014-09-03,1.882707953453064,1.8839579820632935,1.8262499570846558,1.8370829820632935,82636800
2014-09-04,1.8493750095367432,1.8770829439163208,1.8172919750213623,1.8312499523162842,82084800
2014-09-05,1.840000033378601,1.8612500429153442,1.8110419511795044,1.8595830202102661,83227200
2014-09-08,1.8591669797897339,1.882917046546936,1.8431249856948853,1.8689579963684082,70872000
2014-09-09,1.868749976158142,1.8902080059051514,1.8118749856948853,1.8235419988632202,129393600
2014-09-10,1.8300000429153442,1.8691669702529907,1.8141670227050781,1.865833044052124,72417600
2014-09-11,1.8429169654846191,1.8654170036315918,1.821666955947876,1.8643749952316284,119318400
2014-09-12,1.8583329916000366,1.859375,1.8168749809265137,1.8350000381469727,113740800
2014-09-15,1.840000033378601,1.8410420417785645,1.7643749713897705,1.7797919511795044,128486400
2014-09-16,1.7610419988632202,1.8370829820632935,1.7552080154418945,1.8279169797897339,126892800
2014-09-17,1.8260420560836792,1.8604170083999634,1.8037500381469727,1.8368749618530273,113553600
2014-09-18,1.8524999618530273,1.8770829439163208,1.8466670513153076,1.8764580488204956,79512000
2014-09-19,1.9018750190734863,1.9018750190734863,1.8508330583572388,1.8722920417785645,110217600
2014-09-22,1.8595830202102661,1.8595830202102661,1.7970830202102661,1.8214579820632935,108177600
2014-09-23,1.7987500429153442,1.8304170370101929,1.7941670417785645,1.8056249618530273,100800000
2014-09-24,1.8097920417785645,1.865625023841858,1.793125033378601,1.8641669750213623,116582400
2014-09-25,1.8447920083999634,1.8522919416427612,1.7441669702529907,1.7458330392837524,212798400
2014-09-26,1.7637499570846558,1.8104170560836792,1.7547919750213623,1.8016669750213623,148252800
2014-09-29,1.747499942779541,1.8089580535888672,1.744583010673523,1.7956249713897705,114537600
2014-09-30,1.8104170560836792,1.8300000429153442,1.7770830392837524,1.802291989326477,154094400
2014-10-01,1.7881250381469727,1.7916669845581055,1.699167013168335,1.7160420417785645,213480000
2014-10-02,1.7141669988632202,1.7310420274734497,1.649999976158142,1.7152080535888672,217972800
2014-10-03,1.7450000047683716,1.7870830297470093,1.7274999618530273,1.7668750286102295,153676800
2014-10-06,1.7804169654846191,1.7949999570846558,1.7385419607162476,1.7547919750213623,147307200
2014-10-07,1.7293750047683716,1.7443749904632568,1.6791670322418213,1.6806249618530273,163651200
2014-10-08,1.6839580535888672,1.793125033378601,1.652500033378601,1.7777080535888672,213129600
2014-10-09,1.7708330154418945,1.7833329439163208,1.682083010673523,1.6891670227050781,223022400
2014-10-10,1.6595829725265503,1.6893750429153442,1.5627080202102661,1.5627080202102661,296428800
2014-10-13,1.556249976158142,1.591249942779541,1.4866670370101929,1.4895830154418945,273302400
2014-10-14,1.5202080011367798,1.5477080345153809,1.477916955947876,1.492292046546936,370809600
2014-10-15,1.4229170083999634,1.4802080392837524,1.359375,1.4604170322418213,485097600
2014-10-16,1.3691669702529907,1.4714579582214355,1.3677079677581787,1.4377080202102661,335961600
2014-10-17,1.4914580583572388,1.5318750143051147,1.4660420417785645,1.4939579963684082,264350400
2014-10-20,1.4885419607162476,1.5610419511795044,1.4816670417785645,1.5583330392837524,154464000
2014-10-21,1.6143749952316284,1.6802079677581787,1.6041669845581055,1.6802079677581787,211699200
2014-10-22,1.6960419416427612,1.7022919654846191,1.650833010673523,1.6541670560836792,187920000
2014-10-23,1.7041670083999634,1.7560420036315918,1.695207953453064,1.7297919988632202,169886400
2014-10-24,1.7370829582214355,1.7737499475479126,1.71875,1.769582986831665,170563200
2014-10-27,1.760208010673523,1.783750057220459,1.738332986831665,1.7762500047683716,138244800
2014-10-28,1.7979170083999634,1.855625033378601,1.7949999570846558,1.855625033378601,159686400
2014-10-29,1.8364579677581787,1.8506250381469727,1.7947920560836792,1.8333330154418945,179404800
2014-10-30,1.8089580535888672,1.8577079772949219,1.796875,1.8447920083999634,161985600
2014-10-31,1.9377080202102661,1.9404170513153076,1.9027080535888672,1.9208329916000366,176371200
2014-11-03,1.9306249618530273,1.9539580345153809,1.9233330488204956,1.9406249523162842,140961600
2014-11-04,1.9189579486846924,1.9341670274734497,1.8795830011367798,1.9199999570846558,138648000
2014-11-05,1.9554170370101929,1.9574999809265137,1.8995829820632935,1.9197920560836792,138744000
2014-11-06,1.9168750047683716,1.9387500286102295,1.894374966621399,1.9362499713897705,97272000
2014-11-07,1.9479169845581055,1.9500000476837158,1.902500033378601,1.9314579963684082,110812800
2014-11-10,1.9341670274734497,1.9600000381469727,1.9191670417785645,1.9512499570846558,103372800
2014-11-11,1.9541670083999634,1.9700000286102295,1.9379169940948486,1.9697920083999634,105619200
2014-11-12,1.946666955947876,1.986875057220459,1.946666955947876,1.980625033378601,96201600
2014-11-13,1.9914580583572388,2.0285420417785645,1.9787499904632568,2.006042003631592,182164800
2014-11-14,2.005000114440918,2.024583101272583,1.9850000143051147,2.024583101272583,114816000
2014-11-17,2.0102078914642334,2.024167060852051,1.978124976158142,2.005625009536743,141355200
2014-11-18,2.0118749141693115,2.059375047683716,2.011667013168335,2.0506250858306885,111820800
2014-11-19,2.0447919368743896,2.0447919368743896,1.9958330392837524,2.024583101272583,148809600
2014-11-20,1.9977079629898071,2.0556249618530273,1.9927079677581787,2.0514578819274902,99556800
2014-11-21,2.105833053588867,2.110832929611206,2.043333053588867,2.0662500858306885,152947200
2014-11-24,2.0799999237060547,2.1137499809265137,2.074167013168335,2.112916946411133,126206400
2014-11-25,2.1204171180725098,2.1393749713897705,2.104374885559082,2.1197919845581055,151536000
2014-11-26,2.126667022705078,2.165416955947876,2.1197919845581055,2.1631250381469727,105633600
2014-11-28,2.1806249618530273,2.206666946411133,2.17520809173584,2.1954169273376465,72571200
2014-12-01,2.17520809173584,2.185832977294922,2.0924999713897705,2.114375114440918,156187200
2014-12-02,2.1247920989990234,2.153125047683716,2.1097919940948486,2.137083053588867,129892800
2014-12-03,2.152292013168335,2.162292003631592,2.1139578819274902,2.1564579010009766,131942400
2014-12-04,2.1468749046325684,2.175832986831665,2.123958110809326,2.1500000953674316,154036800
2014-12-05,2.162708044052124,2.171041965484619,2.13729190826416,2.1514580249786377,113630400
2014-12-08,2.1337499618530273,2.162292003631592,2.0712499618530273,2.1050000190734863,169281600
2014-12-09,2.030208110809326,2.128541946411133,2.0087499618530273,2.1254169940948486,170688000
2014-12-10,2.112916946411133,2.12833309173584,2.013124942779541,2.0225000381469727,134529600
2014-12-11,2.0416669845581055,2.125,2.040208101272583,2.0541670322418213,136032000
2014-12-12,1.9939579963684082,2.0637500286102295,1.9856250286102295,1.9862500429153442,153787200
2014-12-15,2.0158329010009766,2.037916898727417,1.9068750143051147,1.9266669750213623,235948800
2014-12-16,1.8883329629898071,1.972707986831665,1.8302079439163208,1.8310420513153076,212856000
2014-12-17,1.834583044052124,1.946666955947876,1.828125,1.9293750524520874,182726400
2014-12-18,2.014167070388794,2.0708329677581787,1.9979170560836792,2.0708329677581787,186744000
2014-12-19,2.077083110809326,2.122499942779541,2.0625,2.0939579010009766,154828800
2014-12-22,2.087291955947876,2.1145830154418945,2.0835421085357666,2.112916946411133,110457600
2014-12-23,2.1362500190734863,2.136457920074463,2.0824999809265137,2.092708110809326,115920000
2014-12-24,2.099375009536743,2.118957996368408,2.0933330059051514,2.09708309173584,43982400
2014-12-26,2.112499952316284,2.1524999141693115,2.1122920513153076,2.139583110809326,86088000
2014-12-29,2.1337499618530273,2.1516671180725098,2.129167079925537,2.140000104904175,62328000
2014-12-30,2.118957996368408,2.134166955947876,2.086250066757202,2.0958330631256104,123859200
2014-12-31,2.104374885559082,2.1302080154418945,2.0210421085357666,2.030208110809326,117091200
2015-01-02,2.059375047683716,2.0860419273376465,1.9824999570846558,2.0135419368743896,122227200
