date,buy,sell,gear,close,high,low,rsi,dev200,vix,adx,atr_pct,sma200,macd_hist
2015-06-15,58,12,3,108.20999908447266,108.37999725341795,107.30999755859376,44.36512540995479,3.9989263121482614,15.390000343322754,20.46295736615243,1.0871733697858552,104.04915023803711,-0.23444749305487647
2015-06-16,63,17,3,108.8000030517578,108.9800033569336,108.0500030517578,48.00082743300058,4.518807915141782,14.8100004196167,20.87513127063448,1.0189088166967684,104.09610023498536,-0.2083550822682271
2015-06-17,60,17,3,109.0999984741211,109.4499969482422,108.43000030517578,49.7972681831984,4.760101504520919,14.5,20.79461610304212,1.040985793311937,104.14270023345948,-0.1633625668344736
2015-06-18,59,25,3,110.69000244140624,110.87999725341795,109.44000244140624,58.06619263766553,6.232690932654789,13.1899995803833,19.487412291382437,1.0763661187658102,104.19580024719238,-0.026184745993050568
2015-06-19,60,22,3,109.88999938964844,110.58000183105467,109.80999755859376,53.3085012694129,5.412245096649401,13.960000038146973,18.273580180555587,1.0634021008025858,104.24785022735595,0.00911696617724729
2015-06-22,63,25,3,110.6999969482422,111.02999877929688,110.4499969482422,57.137839463703344,6.131665317955004,12.739999771118164,17.15594526888662,1.055621133059142,104.30440021514893,0.0814398313029884
2015-06-23,62,23,3,110.79000091552734,110.88999938964844,110.33000183105467,57.55440293402752,6.162484157096662,12.109999656677246,16.014461267280556,1.0431585773767083,104.35890022277832,0.12704162697437033
2015-06-24,62,13,3,110.22000122070312,111.12999725341795,110.19000244140624,53.97664723365089,5.565006463724381,13.260000228881836,15.163199562685554,1.0271668304931938,104.40960021972656,0.1110952071097436
2015-06-25,64,14,3,110.0,110.76000213623048,109.81999969482422,52.61710034218692,5.3000882784514705,14.010000228881836,14.135374041033245,1.0214287894112706,104.46335021972656,0.07949037232265421
2015-06-26,65,11,3,109.2699966430664,110.2300033569336,108.86000061035156,48.272291699779586,4.555234942409115,14.020000457763672,14.000411399935158,1.0289065079109392,104.50935020446778,0.00699960456611412
2015-06-29,57,0,2,106.69000244140624,108.66000366210938,106.63999938964844,36.7289649636991,2.053848933122382,18.850000381469727,15.27640315201081,1.1495251781557518,104.54285022735596,-0.20539563536164346
2015-06-30,51,1,2,107.06999969482422,107.72000122070312,106.73999786376952,39.04111748768541,2.3801687124244397,18.229999542236328,16.461252636081056,1.094077410814217,104.5808002090454,-0.3049783008191667
2015-07-01,49,6,2,107.91999816894533,108.3499984741211,107.41999816894533,43.973193705085365,3.1465804933800383,16.09000015258789,16.915940182462005,1.1245100968994937,104.6278002166748,-0.29794245513061923
2015-07-02,51,8,2,107.9499969482422,108.31999969482422,107.62000274658205,44.14495500114598,3.1330145808329553,16.790000915527344,17.338150046958603,1.1010383266504484,104.67065021514892,-0.27610041658876616
2015-07-06,51,9,2,107.6999969482422,108.31999969482422,107.04000091552734,42.96288290261214,2.854029152833666,17.010000228881836,18.1060772932565,1.0929823958825442,104.71150020599366,-0.2633627182304661
2015-07-07,60,11,2,107.97000122070312,108.06999969482422,105.83000183105467,44.68560939019695,3.0740358308475346,16.09000015258789,19.50150635476481,1.1769132600064605,104.74995021820068,-0.22321346036350032
2015-07-08,50,5,2,106.08999633789062,107.33000183105467,105.88999938964844,36.434000282458534,1.2497517691715416,19.65999984741211,20.79726191187967,1.2691374907697914,104.78050018310547,-0.30468767133608365
2015-07-09,50,3,2,106.02999877929688,107.5999984741211,106.0199966430664,36.204232258820525,1.1587978633668605,19.96999931335449,21.673703010777874,1.25638256768288,104.81540016174317,-0.34127904317259705
2015-07-10,52,18,2,107.6500015258789,108.0500030517578,107.0500030517578,46.09016381056866,2.660936484908193,16.829999923706055,21.952448880451787,1.3131174444708837,104.85975017547608,-0.2398290021253323
2015-07-13,43,24,2,109.54000091552734,109.62999725341795,108.56999969482422,54.87567516307796,4.415049062781247,13.899999618530272,20.637032731938884,1.3452352338088827,104.90825019836426,-0.039398282771662074
2015-07-14,56,30,3,110.26000213623048,110.55999755859376,109.62999725341795,57.70354401122827,5.038686364293129,13.369999885559082,19.65073343182726,1.3662504405099953,104.97085021972656,0.13798794550834426
