date,buy,sell,gear,close,high,low,rsi,dev200,vix,adx,atr_pct,sma200,macd_hist,below_cnt,breadth
2015-06-15,58,12,3,108.20999908447266,108.37999725341795,107.30999755859376,44.36512540995479,3.998926312148261,15.390000343322754,20.46295736615243,1.0871733697858552,104.04915023803711,-0.2344474930548764,0.0,-0.293452842632691
2015-06-16,63,17,3,108.8000030517578,108.9800033569336,108.0500030517578,48.00082743300058,4.518807915141782,14.8100004196167,20.87513127063448,1.0189088166967684,104.09610023498536,-0.2083550822682271,0.0,-0.293452842632691
2015-06-17,60,17,3,109.0999984741211,109.4499969482422,108.43000030517578,49.7972681831984,4.760101504520919,14.5,20.79461610304212,1.040985793311937,104.14270023345948,-0.1633625668344736,0.0,-0.293452842632691
2015-06-18,59,25,3,110.69000244140624,110.87999725341795,109.44000244140624,58.06619263766553,6.232690932654789,13.1899995803833,19.48741229138244,1.0763661187658102,104.19580024719238,-0.0261847459930505,0.0,-0.293452842632691
2015-06-19,60,22,3,109.88999938964844,110.58000183105467,109.80999755859376,53.3085012694129,5.412245096649401,13.960000038146973,18.273580180555587,1.0634021008025858,104.24785022735595,0.0091169661772472,0.0,-0.5767863843177068
2015-06-22,63,25,3,110.6999969482422,111.02999877929688,110.4499969482422,57.137839463703344,6.131665317955004,12.739999771118164,17.15594526888662,1.055621133059142,104.30440021514892,0.0814398313029884,0.0,-0.5767863843177068
2015-06-23,62,23,3,110.79000091552734,110.88999938964844,110.33000183105467,57.55440293402752,6.162484157096662,12.109999656677246,16.014461267280556,1.0431585773767085,104.35890022277832,0.1270416269743703,0.0,-0.5767863843177068
2015-06-24,62,13,3,110.22000122070312,111.12999725341795,110.19000244140624,53.97664723365089,5.565006463724381,13.260000228881836,15.163199562685554,1.0271668304931938,104.40960021972656,0.1110952071097436,0.0,-0.5767863843177068
2015-06-25,64,14,3,110.0,110.76000213623048,109.81999969482422,52.61710034218692,5.300088278451471,14.010000228881836,14.135374041033243,1.0214287894112706,104.46335021972656,0.0794903723226542,0.0,-0.5767863843177068
2015-06-26,65,11,3,109.2699966430664,110.2300033569336,108.86000061035156,48.27229169977959,4.555234942409115,14.020000457763672,14.000411399935158,1.0289065079109392,104.50935020446778,0.0069996045661141,0.0,-1.0757329853305242
2015-06-29,57,0,2,106.69000244140624,108.66000366210938,106.63999938964844,36.7289649636991,2.053848933122382,18.850000381469727,15.27640315201081,1.1495251781557518,104.54285022735596,-0.2053956353616434,0.0,-1.0757329853305242
2015-06-30,51,1,2,107.06999969482422,107.72000122070312,106.73999786376952,39.04111748768541,2.38016871242444,18.229999542236328,16.461252636081056,1.094077410814217,104.5808002090454,-0.3049783008191667,0.0,-1.0757329853305242
2015-07-01,49,6,2,107.91999816894533,108.3499984741211,107.41999816894533,43.973193705085365,3.1465804933800383,16.09000015258789,16.915940182462005,1.1245100968994937,104.6278002166748,-0.2979424551306192,0.0,-1.0757329853305242
2015-07-02,51,8,2,107.9499969482422,108.31999969482422,107.62000274658205,44.14495500114598,3.1330145808329557,16.790000915527344,17.338150046958603,1.1010383266504484,104.67065021514892,-0.2761004165887661,0.0,-1.0757329853305242
2015-07-06,51,9,2,107.6999969482422,108.31999969482422,107.04000091552734,42.96288290261214,2.854029152833666,17.010000228881836,18.1060772932565,1.0929823958825442,104.71150020599366,-0.2633627182304661,1.0,-1.4525509927163949
2015-07-07,60,11,2,107.97000122070312,108.06999969482422,105.83000183105467,44.68560939019695,3.074035830847534,16.09000015258789,19.50150635476481,1.1769132600064605,104.74995021820068,-0.2232134603635003,1.0,-1.4525509927163949
2015-07-08,50,5,2,106.08999633789062,107.33000183105467,105.88999938964844,36.43400028245853,1.2497517691715416,19.65999984741211,20.79726191187967,1.2691374907697914,104.78050018310547,-0.3046876713360836,1.0,-1.4525509927163949
2015-07-09,50,3,2,106.02999877929688,107.5999984741211,106.0199966430664,36.204232258820525,1.1587978633668603,19.96999931335449,21.673703010777874,1.25638256768288,104.81540016174316,-0.341279043172597,1.0,-1.4525509927163949
2015-07-10,52,18,2,107.6500015258789,108.0500030517578,107.0500030517578,46.09016381056866,2.660936484908193,16.829999923706055,21.952448880451787,1.3131174444708835,104.85975017547608,-0.2398290021253323,2.0,-1.2142157860905667
2015-07-13,43,24,2,109.54000091552734,109.62999725341795,108.56999969482422,54.87567516307796,4.415049062781247,13.899999618530272,20.637032731938884,1.3452352338088829,104.90825019836426,-0.039398282771662,2.0,-1.2142157860905667
2015-07-14,56,30,3,110.26000213623048,110.55999755859376,109.62999725341795,57.70354401122827,5.038686364293129,13.369999885559082,19.65073343182726,1.3662504405099951,104.97085021972656,0.1379879455083442,2.0,-1.2142157860905667
2015-07-15,55,25,2,110.37999725341795,110.80999755859376,110.06999969482422,58.17399025568985,5.094930612412287,13.229999542236328,18.92233253446777,1.3518230709535208,105.02885021209715,0.253025963783456,2.0,-1.2142157860905667
2015-07-16,62,30,2,111.94000244140624,111.95999908447266,111.06999969482422,63.80966344064897,6.51285282083949,12.109999656677246,19.037897403192773,1.3738221164612592,105.0953002166748,0.4142762301428308,2.0,-1.2142157860905667
2015-07-17,61,32,2,113.58999633789062,113.58999633789062,112.6500015258789,68.62497531635512,8.006800585900915,11.949999809265137,20.038969960458765,1.371472778221951,105.16930019378664,0.6008370827236253,2.0,-1.465778634962811
2015-07-20,59,32,2,113.9800033569336,114.38999938964844,113.4800033569336,69.6528140806516,8.291298762978622,12.25,21.33596707344776,1.2589915829476628,105.25315021514892,0.7117034440234049,2.0,-1.465778634962811
2015-07-21,59,29,2,113.91000366210938,114.1999969482422,113.58000183105467,69.21453912458158,8.139003285844403,12.220000267028809,22.54032153550896,1.234055506496217,105.33665023803712,0.7383354968457455,2.0,-1.465778634962811
2015-07-22,60,20,2,112.62000274658205,113.16999816894533,112.16999816894533,61.530697873830015,6.841075533286711,12.119999885559082,22.31871890129244,1.2773665956113172,105.4089002609253,0.6312345770806327,2.0,-1.465778634962811
2015-07-23,48,18,2,112.1999969482422,113.0999984741211,111.91000366210938,59.22533891278419,6.370772005388299,12.640000343322754,21.889019525388868,1.3133424086929828,105.48010025024412,0.5000091727507762,2.0,-1.465778634962811
2015-07-24,50,9,2,111.0999984741211,113.0,110.93000030517578,53.5649190068911,5.255427468398346,13.739999771118164,20.69012223656655,1.3771366339426792,105.55275024414064,0.3160068953716947,1.0,-2.2092382292504653
