date,close,high,low,buy,sell,rsi,dev200,gear,vix,adx,atr_pct,sma200,macd_hist
2015-06-15,32.20333480834961,32.22999954223633,31.78333282470703,64,12,46.32700821438494,5.299876787024561,3,15.390000343322754,14.426012770013172,1.5075348460792823,30.58249999046326,-0.13146534141485572
2015-06-16,32.293331146240234,32.37333297729492,32.06666564941406,65,15,47.83904392090724,5.538935445672824,3,14.8100004196167,14.547565005572762,1.2666638271312913,30.59849998474121,-0.12681035118115164
2015-06-17,32.31999969482422,32.4466667175293,32.20000076293945,65,15,48.303798950860475,5.574222229006174,3,14.5,14.485261788753746,1.235415029927602,30.613533315658568,-0.11734801263850947
2015-06-18,32.776668548583984,32.93000030517578,32.40666580200195,57,27,55.59929919158888,7.003087427036911,3,13.1899995803833,13.532234331279502,1.2872116891171599,30.63151665687561,-0.07765947795675807
2015-06-19,32.61333465576172,32.95000076293945,32.50666809082031,60,27,52.732893531261,6.41161955355489,3,13.960000038146973,12.68806251651053,1.3024183178983697,30.64828332901001,-0.06049641287219226
2015-06-22,32.88999938964844,32.973331451416016,32.72666549682617,57,31,56.795968053185284,7.252271299120587,3,12.739999771118164,11.954758152043789,1.2769837271172009,30.666016664505005,-0.030134023970988855
2015-06-23,32.72666549682617,33.0,32.616668701171875,53,24,53.85282447261955,6.665040479765858,3,12.109999656677246,11.18598337847727,1.269533498964002,30.681716661453247,-0.021101204116008715
2015-06-24,32.29666519165039,32.67333221435547,32.290000915527344,54,15,46.95443518976803,5.218343125708347,3,13.260000228881836,11.187774898063775,1.294545555234041,30.694899988174438,-0.04288079380212467
2015-06-25,32.27333450317383,32.4900016784668,32.19333267211914,58,15,46.60559960066138,5.092918046179582,3,14.010000228881836,11.38796537367706,1.2740872550250772,30.70933332443237,-0.05678084388628543
2015-06-26,31.46999931335449,31.983333587646484,31.34333229064941,63,9,36.53950976585464,2.4420710024594996,3,14.020000457763672,12.97854910951237,1.351249475292961,30.71979998588562,-0.1146621376199948
2015-06-29,30.58666610717773,31.27666664123535,30.56333351135254,50,0,29.097491920994898,-0.4517443015958786,2,18.850000381469727,15.328933930381933,1.5062583230104236,30.725466651916506,-0.20191973806170743
2015-06-30,30.696666717529297,30.933332443237305,30.559999465942383,48,0,30.982623459787092,-0.11990146735456216,2,18.229999542236328,17.514710843685087,1.468283117631001,30.733516654968263,-0.23916319134373185
2015-07-01,30.770000457763672,31.18000030517578,30.706666946411133,47,0,32.275389694450894,0.08549323593122257,2,16.09000015258789,18.884885314675312,1.5321037347566415,30.7437166595459,-0.24490127545775262
2015-07-02,30.913333892822266,31.01000022888184,30.78333282470703,52,4,34.8442623499169,0.5241931016192959,2,16.790000915527344,20.157190180594814,1.5026641562459269,30.75213333129883,-0.22556620814987088
2015-07-06,30.46333312988281,30.913333892822266,30.32999992370605,54,4,30.883546776690622,-0.9556018969505623,2,17.010000228881836,21.875911112683216,1.547527068650242,30.757249994277956,-0.22888044282000491
2015-07-07,30.36666679382324,30.479999542236328,29.446666717529297,53,9,30.092242300855432,-1.277539732815136,2,16.09000015258789,24.267075609506396,1.7233798101581865,30.75963333129883,-0.22314644102536507
2015-07-08,29.546667098999023,30.043333053588867,29.47333335876465,48,1,24.384616443242393,-3.943838688757135,1,19.65999984741211,26.48744264227077,1.9275390248034114,30.759783334732056,-0.2576946149979091
2015-07-09,29.170000076293945,30.15333366394043,29.15999984741211,51,1,22.292929518663414,-5.168536650451325,1,19.96999931335449,28.79119176504923,2.0462957853928563,30.759833335876465,-0.2868000103955749
2015-07-10,29.709999084472656,29.81333351135254,29.48666763305664,38,9,31.380510275583504,-3.4231030709385006,1,16.829999923706055,30.930387379057798,2.0571870406455584,30.763049993515015,-0.2518150648761387
2015-07-13,29.959999084472656,30.020000457763672,29.74666786193848,30,18,35.16106352283437,-2.6200945290342204,1,13.899999618530272,32.29477528453498,2.028101361522466,30.766099987030028,-0.19642662570170577
2015-07-14,30.273332595825195,30.34666633605957,30.06999969482422,48,26,39.64897272957635,-1.6249988201249967,2,13.369999885559082,32.646457705271715,2.0078973127922084,30.773399982452393,-0.1266637327433795
2015-07-15,30.09333229064941,30.34000015258789,29.956666946411133,32,18,38.02087178101032,-2.224853663740468,1,13.229999542236328,33.11169028911393,2.0072487882460948,30.77809997558594,-0.08274301614407165
2015-07-16,30.149999618530277,30.31666755676269,29.87333297729492,41,15,38.8718816438922,-2.056012763820491,1,12.109999656677246,33.647561214598795,2.038222779064201,30.7828999710083,-0.04202990806621465
2015-07-17,30.08666610717773,30.13333320617676,29.850000381469727,49,15,38.2399187099575,-2.279796974625734,1,11.949999809265137,34.1755076662103,1.8929446870274862,30.78858329772949,-0.01302389382232938
2015-07-20,29.8799991607666,30.24666786193848,29.86333274841309,41,15,36.17327319291712,-2.9768302460565,1,12.25,34.30227493230945,1.7809344011482775,30.796766624450683,-0.001993723270232506
2015-07-21,29.886667251586918,30.149999618530277,29.84333229064941,48,18,36.29290646713537,-2.983792726947718,1,12.220000267028809,34.451143275931315,1.7646040877572333,30.805849962234497,0.010810404724170497
2015-07-22,29.143333435058597,29.22333335876465,28.81999969482422,46,10,29.626436830136726,-5.410521980874306,1,12.119999885559082,35.82918660645834,1.9525839944276455,30.810333290100097,-0.023832807356010788
2015-07-23,29.57666778564453,29.926666259765625,29.30666732788086,35,15,36.902706656984144,-4.028620015002258,1,12.640000343322754,35.26360562679591,2.055192871383716,30.81821662902832,-0.01125250526208299
2015-07-24,28.983333587646484,29.72333335876465,28.953332901000977,38,7,32.020771633237175,-5.977026957189299,1,13.739999771118164,35.16750122343353,2.1432692918590113,30.825799961090087,-0.03522684112911445
2015-07-27,28.770000457763672,28.96999931335449,28.46666717529297,41,4,30.46045147990553,-6.679430747797915,1,15.600000381469728,35.59749978106032,2.030886810931133,30.829216632843018,-0.056525072075275684
2015-07-28,29.3700008392334,29.546667098999023,28.690000534057617,31,18,39.40389087681849,-4.764784244487306,1,13.4399995803833,34.75538239992186,1.9804803065354766,30.83943329811096,-0.022995607169697063
2015-07-29,29.406667709350582,29.46333312988281,29.08666610717773,40,24,39.91247641229529,-4.707121090770101,1,12.5,33.973416260293284,1.8282229725374175,30.859249973297118,0.007242908347152244
2015-07-30,29.523332595825195,29.6200008392334,29.17333221435547,41,24,41.59221240207094,-4.400628104860741,1,12.130000114440918,32.91711650260639,1.7734175719466398,30.882349967956543,0.03892234605402822
2015-07-31,29.18000030517578,29.56666755676269,29.12666702270508,51,18,38.20719397829515,-5.570874979083753,1,12.119999885559082,32.00458423733706,1.8261056094799624,30.901483306884767,0.04039958029531676
2015-08-03,29.08666610717773,29.206666946411133,28.926666259765625,56,18,37.318036607003314,-5.927912486405258,1,12.5600004196167,31.452684651897105,1.805771002186167,30.919549970626832,0.03873143487473829
2015-08-04,28.76333236694336,29.049999237060547,28.57999992370605,48,10,34.336851963442754,-7.017193363061583,1,13.0,31.41704497532235,1.8566975259726788,30.93403329849243,0.02041296311836127
2015-08-05,29.12666702270508,29.32999992370605,28.916667938232425,36,18,40.12520012078928,-5.8893460227368095,1,12.510000228881836,30.71774185495864,1.8637820056766927,30.949383296966552,0.036393721522268385
2015-08-06,28.606666564941406,29.18000030517578,28.386667251586918,44,10,35.325609515043624,-7.601405049165985,1,13.770000457763672,30.778108108830995,2.020842614647895,30.960066633224486,0.016579503175303767
2015-08-07,28.770000457763672,28.799999237060547,28.46333312988281,40,15,37.840681935199534,-7.093697515953822,1,13.390000343322754,30.834162487426756,1.9977831038444143,30.96668330192566,0.01893939475134765
2015-08-10,29.483333587646484,29.53333282470703,28.98666763305664,34,29,47.45185327300815,-4.827488824888801,1,12.229999542236328,29.297587637123303,2.0600829878248996,30.978833303451538,0.07013037912631015
2015-08-11,28.81999969482422,29.19333267211914,28.703332901000977,46,15,41.08940318950014,-6.989404082542262,1,13.710000038146973,28.296416443555223,2.036450175881859,30.985716638565062,0.06122871589832257
2015-08-12,28.98666763305664,29.12666702270508,28.24333381652832,34,15,43.15189283312579,-6.4706850015407325,1,13.609999656677246,27.99039947972938,2.0493829314399603,30.99206664085388,0.06795801043003202
2015-08-13,28.753332138061523,29.100000381469727,28.690000534057617,48,15,40.988318194253935,-7.2371416025737005,1,13.489999771118164,27.706240870462526,1.976583050706498,30.99659996986389,0.05844955104467653
2015-08-14,28.51666641235352,28.64666748046875,28.34333229064941,40,18,38.86010448032713,-8.004719309106251,1,12.829999923706056,27.890886186880522,1.9662692724785238,30.997966632843017,0.03891628534060382
2015-08-17,28.76000022888184,28.81333351135254,28.253332138061523,35,15,42.1840550042819,-7.2266036776228075,1,13.020000457763672,27.680517654452753,1.875952969664203,31.000266637802124,0.044667382646956966
2015-08-18,28.21666717529297,28.71999931335449,28.17333221435547,43,15,37.30689200654908,-8.983092680725882,1,13.789999961853027,27.596511851495592,1.965236169702813,31.00156663894653,0.01565969897072872
2015-08-19,27.96333312988281,28.28333282470703,27.780000686645508,41,4,35.25991786036026,-9.78444681583848,1,15.25,28.03858454596919,1.997514174787101,30.996133308410645,-0.015142116934840244
2015-08-20,26.913333892822266,27.67333221435547,26.90333366394043,52,1,28.323306688499187,-13.13922334577369,1,19.13999938964844,29.35768219952507,2.239994433260818,30.984449977874757,-0.09626057750483652
2015-08-21,26.176666259765625,26.976667404174805,26.176666259765625,59,0,24.658140539299495,-15.476298714440281,1,28.030000686645508,31.141895926379842,2.444925814820349,30.96961664199829,-0.18444868411470217
2015-08-24,25.59000015258789,26.726667404174805,24.286666870117188,60,0,22.19489910832411,-17.31927874361123,1,40.7400016784668,33.747129467998114,3.040622809538469,30.950383310317992,-0.2624517988162237
2015-08-25,25.33666610717773,26.65333366394043,25.33666610717773,58,0,21.209603711240433,-18.086892583443362,1,36.02000045776367,36.1662748995008,3.282463472715296,30.931149978637695,-0.3081114515434118
